index,floral,glamour,petal,blooming,skin,elegant,nude,wedding,delicate,h2o,season,drop,lips,studio,dress,athlete,botanical,purity,bubble,ice,style,fruit,bed,faucet,romance
Always,5,10,9,4,7,6,8,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
AVEENO,2,9,3,0,0,0,10,0,8,0,7,5,0,0,6,0,0,0,0,0,0,0,0,0,0
AVON,9,10,6,7,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0
AXE,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0
Bath  Body Works,10,0,8,9,0,0,0,3,7,0,6,0,0,0,0,0,5,0,0,0,0,1,0,0,0
Caress,9,10,6,5,8,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chanel beauty,2,10,0,5,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charmin,10,0,8,7,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Clean  Clear,10,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Clinique,6,10,7,0,9,5,8,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4
Colgate,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,6,3,0,0,0,0,0,0
CoverGirl,8,4,9,7,2,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crest,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8,0,7,0,5,0,2,0
Degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Dial Soap,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,4,5,0,0,0,0,0,0
Dove Personal Care,9,0,10,8,4,0,5,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garnier Fructis,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Gillette,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head  Shoulders,0,10,0,0,8,0,9,0,0,5,0,2,0,3,0,0,0,0,0,4,0,0,0,0,0
Herbal Essence,9,0,10,8,0,0,0,0,7,0,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0
Irish Spring,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Jergens,10,0,7,9,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleenex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Kotex,2,10,0,0,7,5,9,8,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,0,0
Loreal,0,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
Mary Kay,0,10,0,0,6,9,0,0,0,2,0,0,7,4,5,0,0,0,0,0,8,0,0,0,0
Maybelline,0,10,0,0,8,0,6,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0
Neutrogena,8,7,10,9,4,0,0,0,3,6,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0
Nivea,9,7,10,8,5,6,0,0,4,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Olay,9,0,8,10,0,3,0,4,7,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,2
Old Spice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pantene,1,10,3,2,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ProActiv,8,10,6,7,5,0,3,0,0,9,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0
Revlon,6,10,9,7,4,8,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Scott Tissue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secret,8,7,9,10,0,4,5,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sephora,7,10,8,5,4,6,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3
Suave,8,5,9,10,0,0,0,0,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tampax,0,9,0,0,0,2,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Tresemme,5,10,6,7,4,9,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
