glamour,basketball,sports,elegant,athlete,ball,tennis,instrument,sport,game,contemporary,stadium,football,boy,nude,wall,equipment,studio,race,soccer,dress,style,luxury,petal,blooming
18,0,0,14,0,0,20,13,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0
0,20,13,0,18,14,16,0,17,11,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
20,0,0,17,0,0,0,0,0,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,0
0,20,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,19,0,20,18,16,0,0,15,0,11,0,0,0,0,14,0,13,0,0,0,0,0,0
0,20,13,0,19,18,12,0,0,16,0,11,17,0,0,0,0,0,0,14,0,0,0,0,0
20,0,0,19,0,0,0,0,0,0,17,0,0,0,16,0,0,0,0,0,18,13,11,0,0
0,0,0,0,0,0,20,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,19,18
19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0
20,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18
18,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0
20,0,0,17,0,0,0,0,0,0,13,0,0,0,0,0,0,19,0,0,15,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,13,0,19,17,0,0,14,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,15,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
0,17,16,0,0,20,0,0,14,18,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0
0,0,15,0,20,14,0,0,0,0,0,17,12,0,0,0,16,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,19,16
0,19,17,0,15,0,0,0,13,0,0,11,12,0,0,0,0,0,14,16,0,0,0,0,0
