index,glamour,basketball,sports,elegant,athlete,ball,tennis,instrument,sport,game,contemporary,stadium,football,boy,nude,wall,equipment,studio,race,soccer,dress,style,luxury,petal,blooming
Abercrombie  Fitch,8,0,0,4,0,0,10,3,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0
Adidas,0,10,3,0,8,4,6,0,7,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Aeropostale,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
American Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Banana Republic,10,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Converse,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicks Sports,0,7,9,0,10,8,6,0,0,5,0,1,0,0,0,0,4,0,3,0,0,0,0,0,0
Foot Locker,0,10,3,0,9,8,2,0,0,6,0,1,7,0,0,0,0,0,0,4,0,0,0,0,0
Forever 21,10,0,0,9,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,8,3,1,0,0
GAP,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,8
Gucci,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
HM,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1,0,0
Hollister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
Hot Topic,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JC Penney,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kohls,10,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,5,0,0,0,0
Levis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nike,0,10,3,0,9,7,0,0,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
Old Navy,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Reebok,0,7,6,0,0,10,0,0,4,8,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0
Under Armour,0,0,5,0,10,4,0,0,0,0,0,7,2,0,0,0,6,0,0,0,0,0,0,0,0
Victorias Secret,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,6
Air Jordan,0,9,7,0,5,0,0,0,3,0,0,1,2,0,0,0,0,0,4,6,0,0,0,0,0
