index,delicious,dinner,cooking,meal,togetherness,lunch,boy,meat,nutrition,son,vegetable,baby,farm,home,agriculture,grow,fruit,plate,countryside,dish,pasture,healthy,sweet,traditional,joy
Albertsons,0,0,0,0,10,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4
Arbys,0,7,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banquet,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Betty Crocker,0,0,0,0,10,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Breyers Ice Cream,0,0,0,0,7,0,8,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Burger King,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheerios,0,0,0,0,6,0,9,0,0,10,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
Cheesecake Factory,10,6,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0
Cheetos,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ChickFilA,0,5,0,4,0,6,0,3,0,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0
Chipotle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cracker Barrel,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5,0,0,0,0,0,0,0,0,0,0
Dairy Queen,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Digiorno,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Dole,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominos Pizza,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doritos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunkin Donuts,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0
Fred Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frito Lay,0,0,0,0,7,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0
General Mills,0,0,0,0,9,0,8,0,0,5,0,10,1,0,0,0,0,0,7,0,4,0,0,0,2
Giant Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Great Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB Grocery,6,0,0,2,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,9,0
Heinz,10,2,3,0,0,0,0,0,9,0,6,0,0,0,0,7,5,0,0,0,0,4,0,0,0
Hershey,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
HotLean Pockets,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Ihop,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack in the Box,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9
Kelloggs,0,0,1,0,0,0,0,0,2,0,0,0,9,0,10,0,0,0,7,0,6,0,0,0,0
KFC,0,0,0,0,0,0,6,0,0,0,0,0,8,0,9,0,0,0,7,0,0,0,0,0,5
Kraft,6,4,7,0,8,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kroger,4,0,3,0,10,0,9,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
Lays Chips,0,0,0,0,10,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McDonalds,10,2,0,9,0,3,0,8,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0
Nestle,7,0,0,0,2,0,5,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Olive Garden,3,7,9,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreos,2,0,0,0,0,0,9,0,0,1,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0
Oscar Mayer,4,6,7,5,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outback Steakhouse,3,10,6,8,0,9,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Panda Express,5,8,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
Panera,10,4,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papa Johns,0,0,7,0,2,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perdue Chicken,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,6,0,0,0,2,0,0,0,0
Pizza Hut,9,6,10,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Popeyes,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,7,0,3,0,0,6,8,4,0
Publix,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quaker Oats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Red Lobster,1,8,0,5,0,6,0,0,0,0,2,0,0,0,0,0,0,3,0,7,0,0,0,0,0
Red Robin,9,7,0,4,0,6,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safeway,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shop Rite,10,0,5,0,0,0,0,0,6,0,8,0,0,0,0,7,0,0,0,0,0,9,1,0,0
Sonic,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0
Starbucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stouffers,0,0,3,0,9,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Subway,7,0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Taco Bell,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Texas Roadhouse,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0
TGI Fridays,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Trader Joes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Tyson,0,0,6,0,0,0,0,0,0,0,0,0,9,4,10,5,0,0,7,0,8,0,0,0,0
Wegmans,5,4,9,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Wendys,9,6,0,5,0,8,0,4,3,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Whole Foods,9,4,10,7,0,3,0,0,8,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0
7Eleven,10,5,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Little Caesars,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Buffalo Wild Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kraft Macaroni  Cheese,0,0,2,0,4,0,9,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
