index,home,industry,interior,steel,contemporary,wooden,table,chair,floral,technology,seat,togetherness,rug,season,floor,sweet,delicious,blooming,baking,iron,construction,modern,inside,equipment,yard
Ashley Furniture,0,0,6,0,0,0,0,0,8,0,0,7,5,2,1,0,0,0,0,0,0,0,0,0,0
Bed Bath  Beyond,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,8,6,1,0,0,0,0,0,0
Behr Paint,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Black  Decker,2,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,0,0,0
GE,0,9,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Depot,0,2,10,0,7,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0
Ikea,8,0,3,0,10,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Kenmore,8,10,6,9,4,0,2,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitchen Aid,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,10,0,8,0,0,0,0,0,0
Lowes,5,10,0,9,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,7,6
Maytag,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Menards,9,8,7,0,1,5,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whirlpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace Hardware,8,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3
HomeGoods,2,0,10,0,0,0,7,8,0,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0
Frigidaire,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
