index,floral,petal,blooming,season,h2o,contemporary,interior,ice,drop,delicate,frost,faucet,bathroom,table,floor,home,splash,bubble,droplet,kitchenware,cooking,tableware,steel,wash,round
Ajax,0,0,0,0,10,0,0,0,9,0,3,0,0,0,0,0,8,6,4,0,0,0,0,0,0
Arm And Hammer,9,7,0,0,6,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cascade,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,9,6,2,0,0
Clorox,0,0,0,0,0,8,7,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0
Dawn,4,5,1,0,10,0,0,9,8,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,6
Downy,5,6,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Febreze,8,9,10,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gain,10,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysol,8,9,10,7,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Mr Clean,0,0,5,0,0,0,0,9,0,0,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0
Oxi Clean,10,5,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Palmolive,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,9,5,6,8,0,10
Pine Sol,0,0,0,10,0,4,9,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Pledge,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
Purina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swiffer,0,0,0,0,2,10,7,0,0,0,0,0,0,9,8,6,0,0,0,0,0,0,0,0,0
Tide,9,7,8,10,5,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windex,2,0,0,6,7,10,3,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Bounty,5,0,7,10,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
